"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Dear @CMOGuj  ","2018-09-01 09:00:38","FALSE","0","0","0","Environment","Gujarat","India",FALSE
"2","RT @parimaldabhi: Why did Gujarat Deputy Chief Minister Nitin Patel don white kurta-pyjama &amp; brown jacket instead of usual white pant-shirt","2018-08-28 06:34:41","TRUE","1","0","0","Environment","Gujarat","India",FALSE
"3","Why did Gujarat Deputy Chief Minister Nitin Patel don white kurta-pyjama &amp; brown jacket instead of usual white pant  ","2018-08-27 14:16:08","FALSE","1","1","0","Environment","Gujarat","India",FALSE
