,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
16,"Customer Support Engineer - Optical Fiber Test: MEL Systems &amp; Services - Hyderabad, Telangana - Andhra Pradesh - 3  ",28/07/18 6:51,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
17,"Urgent Opening 28th July Interview: Talent Corner - Tirupati, Andhra Pradesh - Dear Should have 1 year of experienc  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
18,"Duty Manager: Pragati Resort - Hyderabad, Telangana - Andhra Pradesh - To help and assist the Front Office Manager  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
19,"Java AWS Developer: V-Soft Consulting Corporation Private Limited - Hyderabad, Telangana - Andhra Pradesh - Program  ",28/07/18 6:51,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
20,@KTRTRS it is great honour to have a leader like you sir. Naku oka job ippinchagalara?.i am from andhra.,28/07/18 5:39,FALSE,0,0,2,Employment,Andhra Pradesh,India,FALSE,positive
21,RT @1LifeYSoSerious: @samuelk89 @rrk53451 @gunjshyam @satheeshpodury @UttamChakram @eswarkanchu @asb_ambati @Karthikjillella @drmsbc @Visak,28/07/18 4:50,TRUE,3,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
22,From Andhra to UP Wagons reaches in just 3.5 years ? IndianRailways under Modisarkar totally failed to do its job  ,28/07/18 4:46,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
23,RT @1LifeYSoSerious: @samuelk89 @rrk53451 @gunjshyam @satheeshpodury @UttamChakram @eswarkanchu @asb_ambati @Karthikjillella @drmsbc @Visak,28/07/18 3:49,TRUE,3,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
24,many people in karnataka say that locals consider the people from andhra pradesh who come here and work in IT job a  ,28/07/18 3:41,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
25,RT @1LifeYSoSerious: @samuelk89 @rrk53451 @gunjshyam @satheeshpodury @UttamChakram @eswarkanchu @asb_ambati @Karthikjillella @drmsbc @Visak,28/07/18 3:07,TRUE,3,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
26,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,28/07/18 2:38,TRUE,12,0,3,Employment,Andhra Pradesh,India,FALSE,positive
27,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,28/07/18 1:50,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
28,Kudos railway ministry &amp; @sureshpprabhu for doing such an awesome job &amp; set examples of mismanagement &amp; irresponsib  ,27/07/18 18:18,FALSE,0,1,2,Employment,Andhra Pradesh,India,FALSE,positive
29,@samuelk89 @rrk53451 @gunjshyam @satheeshpodury @UttamChakram @eswarkanchu @asb_ambati @Karthikjillella @drmsbc  ,27/07/18 18:01,FALSE,3,5,0,Employment,Andhra Pradesh,India,FALSE,neutral
30,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,27/07/18 15:03,TRUE,144,0,1,Employment,Andhra Pradesh,India,FALSE,positive
31,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 13:52,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
32,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 13:24,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
33,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 13:11,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
34,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 12:29,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
35,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,27/07/18 12:28,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
36,RT @b4politics: Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 12:12,TRUE,12,0,3,Employment,Andhra Pradesh,India,TRUE,positive
37,Good job APTourism . The Great Andhra revival only possible with @JaiTDP @bhuma_akhila @ncbn apwithcn aptourism  ,27/07/18 12:12,FALSE,12,25,3,Employment,Andhra Pradesh,India,FALSE,positive
38,"GOOD MORNING SIR MY NAME IS S RIYAZ BASHA, PHYSICALLY HANDICAPPED,  RESIDING AT PILER CHITTOOR DISTRICT, ANDHRA PRA  ",27/07/18 7:26,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
39,"Merchandise Purchasing Officer: Chrisjac Recruitment Services - Shah Alam, Selangor - Machilipatnam, Andhra Pradesh  ",27/07/18 6:21,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
40,"Human Resource Manager: Visakhapatnam, Andhra Pradesh - Dear Candidates, We are hiring for HR Manager. Job Responsi  ",27/07/18 6:21,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
41,"SENIOR EXECUTIVE - L&amp;D: Infotech Enterprises Ltd - Kakinada, Andhra Pradesh - Eye for detail, excellent communicati  ",27/07/18 6:21,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
42,"Need 10th Passed Candidates To Deal With Customers Queries In BPO: Hyderabad, Telangana - Andhra Pradesh - Dear Can  ",27/07/18 6:21,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
43,"Need 10th Passed Candidates To Deal With Customers Queries In BPO: Hyderabad, Telangana - Andhra Pradesh - Dear Can  ",27/07/18 6:21,FALSE,0,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
44,"Technical Support Executive - International Voice - Rotational Shift: IMPEC CONSULTING SOLUTIONS - Hyderabad, Telan  ",27/07/18 6:21,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
45,"Technical Support Executive - International Voice - Rotational Shift: IMPEC CONSULTING SOLUTIONS - Hyderabad, Telan  ",27/07/18 6:21,FALSE,0,0,1,Employment,Andhra Pradesh,India,TRUE,positive
46,"Urgently Security Officer and Safety officer 8826514779: Freelancer Sujeet Kumar Singh - Hyderabad, Telangana - And  ",27/07/18 6:21,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
47,Ad Posting Work-Part Time Job-Franchise Offer-Work at Home in Andhra Pradesh K  ,27/07/18 2:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
48,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,27/07/18 2:07,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
49,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,27/07/18 1:33,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
50,[Job] Urgent requirement for civil engineers | Company: dasari jobs | Location: Vijayawada AP Andhra Pradesh India  ,26/07/18 22:53,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
51,[Job] Civil Engineer | Company: RBBR Infrastructure Pvt Ltd | Location: Vijayawada AP Andhra Pradesh India |  ,26/07/18 22:52,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
52,"My caption:  Lokesh leaving Andhra politics, to look for a job elsewhere.  ",26/07/18 16:32,FALSE,0,4,0,Employment,Andhra Pradesh,India,FALSE,neutral
53,[Job] Junior Marine Surveyor | Company: Visakhapatnam Port Trust | Location: Visakhapatnam AP Andhra Pradesh India  ,26/07/18 15:23,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
54,RT @AndhraPradeshCM: Through measures like the APITA mega job recruitment drives we are bringing employment opportunities to the youth of A,26/07/18 12:32,TRUE,144,0,1,Employment,Andhra Pradesh,India,TRUE,positive
55,More and more jobs my job: Chandra Babu Naidu  ,26/07/18 8:58,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
56,"@bhartijainTOI Fantastic, great job by @HMOIndia , these NGO are involved in conversation only, still HM need to wo  ",26/07/18 6:51,FALSE,0,1,2,Employment,Andhra Pradesh,India,FALSE,positive
57,"Junior Accounts Officer: Chrisjac Recruitment Services - Shah Alam, Selangor - Machilipatnam, Andhra Pradesh - Posi  ",26/07/18 6:27,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
58,"Urgent Hiring for Aircraft Maintenance Engineer and Technician: Aviation Associates - Hyderabad, Telangana - Andhra  ",26/07/18 5:45,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
59,"Hire for Accountant: Blue Sparrow Services - Hyderabad, Telangana - Andhra Pradesh - BANK JOBS We are hiring candid  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
60,"English to Telugu Language -Subtitling Experts: La Vela Pictures Pvt. Ltd. - Hyderabad, Telangana - Andhra Pradesh  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
61,"HVAC Project Engineer,HVAC Design Engineer: Electrobrain Modern Technologies private Limited - Hyderabad, Telangana  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
62,"350 Candidates Required In All Locations Shown: Hyderabad, Telangana - Andhra Pradesh - Dear Candidates, Min Gradua  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
63,"Net Developer: Prodesign Technologies India pvt ltd - Hyderabad, Telangana - Andhra Pradesh - .Net Developerwith at  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
64,"Telecalling Executive: Innasoft Technologies Pvt Ltd - Hyderabad, Telangana - Andhra Pradesh - Co-ordination with P  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
65,"urgent financial consultants needed Geojit hyd,chennai,banglore vijayawada: QRN Services - Hyderabad, Telangana - A  ",26/07/18 5:45,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
66,Chef de Partie - Cold Kitchen: Marriott - Andhra Pradesh - If you are someone with a genuine drive to improve your  ,26/07/18 5:45,FALSE,0,0,1,Employment,Andhra Pradesh,India,FALSE,positive
67,"HVAC Project Engineer,HVAC Design Engineer: Electrobrain Modern Technologies private Limited - Hyderabad, Telangana  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,TRUE,neutral
68,"Required Urgent For Back Office For Fresher: Hyderabad, Telangana - Andhra Pradesh - We are hiring for candidates f  ",26/07/18 5:45,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
